N° Caso CIADI,Nombre del Caso,Estado Demandado,Clasificación Capital,Región CIADI,País Inversor,Clasif. Inversor,Año Inicio,Resultado,Monto Reclamado (USD mill.),Monto Otorgado (USD mill.),% Otorgado/Reclamado,Tipo de Condena,Sector Económico,Decisiones Estatales Impugnadas,Tratado Invocado,Nacionalidad del Inversor,Composición Accionaria,Árbitros,¿Anulación?,Resultado Anulación,Idioma del Laudo,Variables extraídas auto,Link Italaw
AF/06/1,Sistem v. Kyrgyzstan,Kyrgyzstan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2006,Sí con daños,24.70 USD,8.50 USD,,,"Tertiary - F - Construction;
Tertiary - I - Accommodation and food service activities",Revocación de licencia/permiso | Denegación de permiso,Kyrgyzstan - Turkey BIT (1992),Türkiye,999 Share,"Lowe, V. - President; Patocchi, P. M. - Claimant; Elabary, N. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/1506
ICSID Case No. ARB/06/4,Vestey v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,United Kingdom,Importador neto,2006,Sí con daños,157.40 USD,98.10 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Primary - A - Agriculture, forestry and fishing",,"United Kingdom - Venezuela, Bolivarian Republic of BIT (1995)",United Kingdom,,"Kaufmann-Kohler, G. - President; Grigera Naón, H. A. - Claimant; Dupuy, P.-M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/3616
ICSID Case No. ARB/05/21,AHCA v. Congo,"Congo, Democratic Republic of the",Importador neto,Sin clasificar,United States of America,Exportador neto,2005,No - ganó el Estado,Data not available,,,,Tertiary - F - Construction,,"Congo, Democratic Republic of the - United States of America BIT (1984)",United States of America,,"Orrego Vicuña, F. - President; El-Kosheri, A. S. - President (replaced); De Witt Wijnen, O. L. O. - Claimant; Grisay, D. - Respondent; Giovannini, T. - Respondent (replaced)",,,Indeterminado,Sí,http://www.italaw.com/cases/56
ICSID Case No. ARB/05/23,Ares and MetalGeo v. Georgia,Georgia,Importador neto,Este Europa/Asia Central,Italy,Exportador neto,2005,Sí con daños,113.00 USD,3.50 USD,,Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Secondary - C - Manufacturing,Nacionalización,Georgia - Italy BIT (1997),Italy,,"Rowley, J. W. - President; Gaillard, E. - Claimant; Beechey, J. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/3471
AF/05/1,Bayview v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2005,No - ganó el Estado,667.60 USD,,,Expropiación | Trato Nacional,"Primary - A - Agriculture, forestry and fishing",,NAFTA (1992),United States of America,,"Lowe, V. - President; Meese III, E. - Claimant; Gómez Palacio, I. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/134
ICSID Case No. ARB/05/22,Biwater v. Tanzania,"Tanzania, United Republic of",Importador neto,Sin clasificar,United Kingdom,Importador neto,2005,Sí sin daños,20.00 USD,0.00 USD,,Expropiación,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",Rescisión/terminación de contrato,United Republic of Tanzania - United Kingdom BIT (1994),United Kingdom,,"Hanotiau, B. - President; Born, G. B. - Claimant; Landau, T. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/157
AF/05/2,Cargill v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2005,Sí con daños,123.80 USD,77.30 USD,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Secondary - C - Manufacturing,Medida fiscal/impositiva,NAFTA (1992),United States of America,,"Pryles, M. C. - President; Caron, D. D. - Claimant; McRae, D. M. - Respondent",Judicial review by national courts,Award/decision upheld Judicial review by national courts,Inglés,Sí,http://www.italaw.com/cases/223
ICSID Case No. ARB/05/1,Daimler v. Argentina,Argentina,Importador neto,América del Sur,Germany,Exportador neto,2005,No - ganó el Estado,272.70 EUR (243.00 USD),,,TJE - Trato Justo y Equitativo,Tertiary - K - Financial and insurance activities,,Argentina - Germany BIT (1991),Germany,,"Dupuy, P.-M. - President; Brower, C. N. - Claimant; Bello Janeiro, D. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1520
ICSID Case No. ARB/05/17,Desert Line v. Yemen,Yemen,Importador neto,Medio Oriente/Norte África,Oman,Importador neto,2005,Sí con daños,96.40 OMR (249.60 USD),7.20 OMR (18.80 USD),,,Tertiary - F - Construction,,Oman - Yemen BIT (1998),Oman,,"Tercier, P. - President; Paulsson, J. - Claimant; El-Kosheri, A. S. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/353
ICSID Case No. ARB/05/13,EDF v. Romania,Romania,Importador neto,Europa Occidental,United Kingdom,Importador neto,2005,No - ganó el Estado,132.50 USD,,,,Tertiary - G - Wholesale and retail trade; repair of motor vehicles and motorcycles,,Romania - United Kingdom BIT (1995),United Kingdom,,"Bernardini, P. - President; Rovine, A. W. - Claimant; Derains, Y. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/375
ICSID Case No. ARB/05/9,EMELEC v. Ecuador,Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2005,No - ganó el Estado,326.00 USD,,,Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,Ecuador - United States of America BIT (1993),United States of America,,"Sepúlveda Amor, B. - President; Rooney, J. H. - Claimant; Reisman, W. M. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/387
ICSID Case No. ARB/05/6,Funnekotter v. Zimbabwe,Zimbabwe,Importador neto,África Subsahariana,Netherlands,Exportador neto,2005,Sí con daños,12.40 EUR (15.60 USD),8.20 EUR (10.60 USD),,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,"Primary - A - Agriculture, forestry and fishing",,Netherlands - Zimbabwe BIT (1996),Netherlands,,"Guillaume, G. - President; Cass, R. A. - Claimant; Wasi Zafar, M. - Respondent",,,Inglés,Sí,http://italaw.com/cases/467
ICSID Case No. ARB/05/19,Helnan v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,Denmark,Exportador neto,2005,No - ganó el Estado,41.50 EUR (65.70 USD),,,Expropiación,Tertiary - I - Accommodation and food service activities,Rescisión/terminación de contrato,Denmark - Egypt BIT (1999),Denmark,,"Derains, Y. - President; Lee, M. J. A. - Claimant; Dolzer, R. - Respondent",ICSID annulment proceedings,Award/decision partially annulled ICSID annulment proceedings,Inglés,Sí,http://italaw.com/cases/529
ICSID Case No. ARB/05/24,HEP v. Slovenia,Slovenia,Importador neto,Europa Occidental,Croatia,Importador neto,2005,No - ganó el Estado,5752.00 SIT (34.00 USD),Data not available,,,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,The Energy Charter Treaty (1994),Croatia,,"Williams, D. A. R. - President; Brower, C. N. - Claimant; Paulsson, J. - Respondent",,,,No — revisar manual,Not available
ICSID Case No. ARB/05/18,Kardassopoulos v. Georgia,Georgia,Importador neto,Este Europa/Asia Central,Greece,Importador neto,2005,Sí con daños,30.20 USD,15.10 USD,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - H - Transportation and storage,Nacionalización,"Georgia - Greece BIT (1994);
The Energy Charter Treaty (1994)",Greece,,"Fortier, L. Y. - President; Orrego Vicuña, F. - Claimant; Lowe, V. - Respondent; Watts, A. - Respondent (replaced)",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Indeterminado,Sí,http://italaw.com/cases/599
ICSID Case No. ARB/05/3,LESI v. Algeria,Algeria,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2005,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - F - Construction,,Algeria - Italy BIT (1991),Italy,,"Tercier, P. - President; Hanotiau, B. - Claimant; Gaillard, E. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/618
ICSID Case No. ARB/05/10,MHS v. Malaysia,Malaysia,Exportador neto,Asia Sur-Este/Pacífico,United Kingdom,Importador neto,2005,No - ganó el Estado,3.00 USD,,,Expropiación | Cláusula Paraguas,Tertiary - H - Transportation and storage,Nacionalización,Malaysia - United Kingdom BIT (1981),United Kingdom,,"Hwang, M. - Sole arbitrator",ICSID annulment proceedings,Award/decision annulled in its entirety ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/646
ICSID Case No. ARB/05/20,Micula v. Romania (I),Romania,Importador neto,Europa Occidental,Sweden,Exportador neto,2005,Sí con daños,2698.00 RON (832.90 USD),376.40 RON (116.20 USD),,,Secondary - C - Manufacturing,,Romania - Sweden BIT (2002),Sweden,,"Lévy, L. - President; Alexandrov, S. A. - Claimant; Abi-Saab, G. - Respondent; Ehlermann, C.-D. - Respondent (replaced)",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/697
ICSID Case No. ARB/05/8,Parkerings v. Lithuania,Lithuania,Importador neto,Europa Occidental,Norway,Exportador neto,2005,No - ganó el Estado,176.40 NOK (25.90 USD),,,Expropiación,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage",,Lithuania - Norway BIT (1992),Norway,,"Lévy, L. - President; Lew, J. D. M. - Claimant; Lalonde, M. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/812
ICSID Case No. ARB/05/16,Rumeli v. Kazakhstan,Kazakhstan,Importador neto,Este Europa/Asia Central,Türkiye,Importador neto,2005,Sí con daños,458.00 USD,125.00 USD,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - J - Information and communication,Nacionalización,Kazakhstan - Turkey BIT (1992),Türkiye,,"Hanotiau, B. - President; Lalonde, M. - Claimant; Boyd, S. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://italaw.com/cases/942
ICSID Case No. ARB/05/7,Saipem v. Bangladesh,Bangladesh,Importador neto,Asia Sur-Este/Pacífico,Italy,Exportador neto,2005,Sí con daños,12.50 USD,6.30 USD,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - F - Construction,,Bangladesh - Italy BIT (1990),Italy,,"Kaufmann-Kohler, G. - President; Schreuer, C. H. - Claimant; Otton, P. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/951
ICSID Case No. ARB/05/15,Siag v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2005,Sí con daños,230.00 USD,74.55 USD,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - L - Real estate activities,Nacionalización,Egypt - Italy BIT (1989),Italy,,"Williams, D. A. R. - President; Pryles, M. C. - Claimant; Orrego Vicuña, F. - Respondent","ICSID annulment proceedings;
Judicial review by national courts","Discontinued ICSID annulment proceedings;
Award/decision upheld Judicial review by national courts",Indeterminado,Sí,http://italaw.com/cases/1022
ICSID Case No. ARB/05/5,TSA Spectrum v. Argentina,Argentina,Importador neto,América del Sur,Netherlands,Exportador neto,2005,No - ganó el Estado,Data not available,Data not available,,Expropiación,Tertiary - J - Information and communication,Nacionalización,Argentina - Netherlands BIT (1992),Netherlands,100% (wholly owned),"Danelius, H. - President; Aldonas, G. D. - Claimant; Abi-Saab, G. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1118
ICSID Case No. ARB/04/12,ABCI Investments v. Tunisia,Tunisia,Importador neto,Medio Oriente/Norte África,Netherlands,Exportador neto,2004,No - ganó el Estado,Data not available,Data not available,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - K - Financial and insurance activities,,"Netherlands - Tunisia BIT (1963);
Netherlands - Tunisia BIT (1998)",Netherlands,,"Orrego Vicuña, F. - President (replaced); Bernardini, P. - Claimant (replaced); Kaufmann-Kohler, G. - Respondent (replaced); Stern, B. - Respondent (replaced); Hanotiau, B. - President; Fortier, L. Y. - Claimant; Tercier, P. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/37
AF/04/5,ADM v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2004,Sí con daños,100.00 USD,33.50 USD,,Expropiación,Secondary - C - Manufacturing,,NAFTA (1992),United States of America,,"Cremades, B. M. - President; Rovine, A. W. - Unknown; Siqueiros, E. - Unknown",,,Indeterminado,Sí,http://www.italaw.com/cases/91
AF/04/1,Corn Products v. Mexico,Mexico,Importador neto,América del Norte,United States of America,Exportador neto,2004,Sí con daños,325.00 USD,58.00 USD,,,Secondary - C - Manufacturing,,NAFTA (1992),United States of America,,"Greenwood, C. - President; Lowenfeld, A. F. - Claimant; Serrano de la Vega, J. - Respondent; Tron, M. - Respondent (replaced)",,,Indeterminado,Sí,http://www.italaw.com/cases/345
ICSID Case No. ARB/04/19,Duke Energy v. Ecuador,Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2004,Sí con daños,25.00 USD,5.60 USD,,TJE - Trato Justo y Equitativo,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Medida fiscal/impositiva | Decreto de emergencia,Ecuador - United States of America BIT (1993),United States of America,,"Kaufmann-Kohler, G. - President; Gómez-Pinzón, E. - Claimant; van den Berg, A. J. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/356
AF/04/3,Gemplus v. Mexico,Mexico,Importador neto,América del Norte,France,Exportador neto,2004,Sí con daños,340.00 MXN (37.00 USD),4.50 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,"Tertiary - M - Professional, scientific and technical activities",,France - Mexico BIT (1998),France,,"Veeder, V. V. - President; Fortier, L. Y. - Claimant; Magallón Gómez, E. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/480
ICSID Case No. ARB/04/13,Jan de Nul and and Dredging International v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,Belgium,Exportador neto,2004,No - ganó el Estado,80.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - F - Construction,Nacionalización,"BLEU (Belgium-Luxembourg Economic Union) - Egypt BIT (1977);
BLEU (Belgium-Luxembourg Economic Union) - Egypt BIT (1999)",Belgium,,"Kaufmann-Kohler, G. - President; Mayer, P. - Claimant; Stern, B. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/587
ICSID Case No. ARB/04/16,Mobil v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2004,Sí con daños,513.50 USD,196.20 USD,,TJE - Trato Justo y Equitativo,Primary - B - Mining and quarrying,Medida fiscal/impositiva | Medidas de emergencia económica (pesificación/corralito),Argentina - United States of America BIT (1991),United States of America,,"Moller, G. - President; Bernardini, P. - Claimant; Remiro Brotóns, A. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/2183
ICSID Case No. ARB/04/6,OKO v. Estonia,Estonia,Importador neto,Europa Occidental,Finland,Sin dato,2004,Sí con daños,24.00 EUR (30.00 USD),12.00 EUR (17.70 USD),,TJE - Trato Justo y Equitativo,Tertiary - K - Financial and insurance activities,,"Estonia - Germany BIT (1992);
Estonia - Finland BIT (1992)",Finland,,"De Witt Wijnen, O. L. O. - President; Veeder, V. V. - Claimant; Fortier, L. Y. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/770
ICSID Case No. ARB/04/4,SAUR v. Argentina,Argentina,Importador neto,América del Sur,France,Exportador neto,2004,Sí con daños,143.90 USD,39.90 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - E - Water supply; sewerage, waste management and remediation activities;
Tertiary - E - Water supply; sewerage, waste management and remediation activities",,Argentina - France BIT (1991),France,,"Fernández-Armesto, J. - President; Hanotiau, B. - Claimant; Tomuschat, C. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1456
AF/04/4,Talsud v. Mexico,Mexico,Importador neto,América del Norte,Argentina,Importador neto,2004,Sí con daños,37.00 USD,6.40 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,"Tertiary - M - Professional, scientific and technical activities",,Argentina - Mexico BIT (1996),Argentina,,"Veeder, V. V. - President; Fortier, L. Y. - Claimant; Magallón Gómez, E. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/597
ICSID Case No. ARB/04/15,Telenor v. Hungary,Hungary,Importador neto,Europa Occidental,Norway,Exportador neto,2004,No - ganó el Estado,152.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Tertiary - J - Information and communication,Nacionalización,Hungary - Norway BIT (1991),Norway,,"Goode, R. - President; Allard, N. W. - Claimant; Marriott, A. L. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/1093
ICSID Case No. ARB/04/1,Total v. Argentina,Argentina,Importador neto,América del Sur,France,Exportador neto,2004,Sí con daños,940.00 USD,269.90 USD,,TJE - Trato Justo y Equitativo | Expropiación,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Nacionalización,Argentina - France BIT (1991),France,,"Sacerdoti, G. - President; Álvarez, H. C. - Claimant; Herrera Marcano, L. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/1105
AF/04/6,Vannessa Ventures v. Venezuela,"Venezuela, Bolivarian Republic of",Importador neto,América del Sur,Canada,Exportador neto,2004,No - ganó el Estado,1045.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas,Primary - B - Mining and quarrying,,"Canada - Venezuela, Bolivarian Republic of BIT (1996)",Canada,991 Share,"Lowe, V. - President; Briner, R. - President (replaced); Veeder, V. V. - President (replaced); Brower, C. N. - Claimant; Stern, B. - Respondent; Paulsson, J. - Respondent (replaced)",,,Inglés,Sí,http://www.italaw.com/cases/1146
ICSID Case No. ARB/04/7,Vieira v. Chile,Chile,Importador neto,América del Sur,Spain,Exportador neto,2004,No - ganó el Estado,22.00 USD,,,Expropiación,"Primary - A - Agriculture, forestry and fishing",Cambio regulatorio,Chile - Spain BIT (1991),Spain,,"von Wobeser, C. - President; Czar de Zalduendo, S. B. - Claimant; Reisman, W. M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/1035
ICSID Case No. ARB/04/14,Wintershall v. Argentina,Argentina,Importador neto,América del Sur,Germany,Exportador neto,2004,No - ganó el Estado,300.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia | NMF - Nación Más Favorecida,Primary - B - Mining and quarrying,Nacionalización,Argentina - Germany BIT (1991),Germany,,"Nariman, F. S. - President; Bernardini, P. - Claimant; Torres Bernárdez, S. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/1171
ICSID Case No. ARB/03/16,ADC v. Hungary,Hungary,Importador neto,Europa Occidental,Cyprus,Exportador neto,2003,Sí con daños,99.70 USD,76.00 USD,,Expropiación,"Tertiary - F - Construction;
Tertiary - H - Transportation and storage;
Tertiary - H - Transportation and storage",,Cyprus - Hungary BIT (1989),Cyprus,,"Kaplan, N. - President; Philip, A. - President (replaced); Brower, C. N. - Claimant; van den Berg, A. J. - Respondent",,,Inglés,Sí,http://italaw.com/cases/41
ICSID Case No. ARB/03/29,Bayindir v. Pakistan (I),Pakistan,Importador neto,Asia Sur-Este/Pacífico,Türkiye,Importador neto,2003,No - ganó el Estado,416.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida | Trato Nacional,Tertiary - F - Construction,,Pakistan - Turkey BIT (1995),Türkiye,,"Kaufmann-Kohler, G. - President; Böckstiegel, K.-H. - Claimant; Berman, F. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/131
ICSID Case No. ARB/03/9,Continental Casualty v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2003,Sí con daños,114.00 USD,2.80 USD,,TJE - Trato Justo y Equitativo | Expropiación | Cláusula Paraguas,Tertiary - K - Financial and insurance activities,Medidas de emergencia económica (pesificación/corralito),Argentina - United States of America BIT (1991),United States of America,,"Sacerdoti, G. - President; Veeder, V. V. - Claimant; Lauterpacht, E. - Claimant (replaced); Nader, M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/329
ICSID Case No. ARB/03/23,EDF and others v. Argentina,Argentina,Importador neto,América del Sur,France,Exportador neto,2003,Sí con daños,270.00 USD,136.00 USD,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Cláusula Paraguas | NMF - Nación Más Favorecida | Trato Nacional,"Tertiary - D - Electricity, gas, steam and air conditioning supply",,"Argentina - France BIT (1991);
Argentina - BLEU (Belgium-Luxembourg Economic Union) BIT (1990)",France,,"Park, W. W. - President; Kaufmann-Kohler, G. - Claimant; De Trazegnies Granda, F. - Respondent (replaced); Remón Peñalver, J. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://www.italaw.com/cases/372
ICSID Case No. ARB/03/15,El Paso v. Argentina,Argentina,Importador neto,América del Sur,United States of America,Exportador neto,2003,Sí con daños,228.20 USD,43.00 USD,,Expropiación | Cláusula Paraguas,"Primary - B - Mining and quarrying;
Tertiary - D - Electricity, gas, steam and air conditioning supply",Nacionalización | Medidas de emergencia económica (pesificación/corralito),Argentina - United States of America BIT (1991),United States of America,45%  of  the  share,"Caflisch, L. - President; Bernardini, P. - Claimant; Stern, B. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Indeterminado,Sí,http://italaw.com/cases/382
ICSID Case No. ARB/03/25,Fraport v. Philippines (I),Philippines,Importador neto,Asia Sur-Este/Pacífico,Germany,Exportador neto,2003,No - ganó el Estado,425.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación,Tertiary - H - Transportation and storage,,Germany - Philippines BIT (1997),Germany,100% (wholly owned),"Fortier, L. Y. - President; Cremades, B. M. - Claimant; Reisman, W. M. - Respondent",ICSID annulment proceedings,Award/decision annulled in its entirety ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/456
ICSID Case No. ARB/03/26,Inceysa v. El Salvador,El Salvador,Importador neto,América Central/Caribe,Spain,Exportador neto,2003,No - ganó el Estado,122.00 USD,,,Expropiación,"Tertiary - M - Professional, scientific and technical activities",,El Salvador - Spain BIT (1995),Spain,,"Oreamuno Blanco, R. - President; Landy, B. A. - Claimant; von Wobeser, C. - Respondent",,,Inglés,Sí,http://www.italaw.com/cases/562
ICSID Case No. ARB/03/4,Industria Nacional de Alimentos v. Peru,Peru,Importador neto,América del Sur,Chile,Importador neto,2003,No - ganó el Estado,Data not available,,,Expropiación | NMF - Nación Más Favorecida,Secondary - C - Manufacturing,Nacionalización,Chile - Peru BIT (2000),Chile,"98% of 
the  shares","Buergenthal, T. - President; Paulsson, J. - Claimant; Cremades, B. M. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://italaw.com/cases/389
ICSID Case No. ARB/03/11,Joy Mining v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United Kingdom,Importador neto,2003,No - ganó el Estado,2.50 GBP (4.50 USD),,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | Libre Transferencia | Cláusula Paraguas,Primary - B - Mining and quarrying,Nacionalización,Egypt - United Kingdom BIT (1975),United Kingdom,,"Orrego Vicuña, F. - President; Craig, W. L. - Claimant; Weeramantry, C. G. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/590
ICSID Case No. ARB/03/8,L.E.S.I. v. Algeria,Algeria,Importador neto,Medio Oriente/Norte África,Italy,Exportador neto,2003,No - ganó el Estado,115.00 EUR (124.00 USD),,,Expropiación,Tertiary - F - Construction,,Algeria - Italy BIT (1991),Italy,,"Tercier, P. - President; Faures, A. - Claimant; Gaillard, E. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/323
ICSID Case No. ARB/03/6,MCI v. Ecuador,Ecuador,Importador neto,América del Sur,United States of America,Exportador neto,2003,No - ganó el Estado,Data not available,,,TJE - Trato Justo y Equitativo | Expropiación | Protección y Seguridad Plenas | NMF - Nación Más Favorecida,"Tertiary - D - Electricity, gas, steam and air conditioning supply",Rescisión/terminación de contrato,Ecuador - United States of America BIT (1993),United States of America,,"Vinuesa, R. E. - President; Greenberg, B. J. - Claimant; Irarrázabal, J. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,Inglés,Sí,http://www.italaw.com/cases/662
ICSID Case No. ARB/03/5,Metalpar v. Argentina,Argentina,Importador neto,América del Sur,Chile,Importador neto,2003,No - ganó el Estado,18.00 USD,,,TJE - Trato Justo y Equitativo | Expropiación,Secondary - C - Manufacturing,Medidas de emergencia económica (pesificación/corralito),Argentina - Chile BIT (1991),Chile,,"Oreamuno Blanco, R. - President; Cameron, D. H. - Claimant; Chabaneix, J. P. - Respondent",,,Indeterminado,Sí,http://italaw.com/cases/680
ICSID Case No. ARB/03/24,Plama v. Bulgaria,Bulgaria,Importador neto,Europa Occidental,Cyprus,Exportador neto,2003,No - ganó el Estado,146.00 USD,Data not available,,TJE - Trato Justo y Equitativo | Expropiación | NMF - Nación Más Favorecida,Secondary - C - Manufacturing,,"The Energy Charter Treaty (1994);
Bulgaria - Cyprus BIT (1987)",Cyprus,,"Salans, C. F. - President; van den Berg, A. J. - Claimant; Veeder, V. V. - Respondent",,,Indeterminado,Sí,http://www.italaw.com/cases/857
ICSID Case No. ARB/03/17,Suez and Interagua v. Argentina,Argentina,Importador neto,América del Sur,France,Exportador neto,2003,Sí con daños,257.70 USD,225.70 USD,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,"Argentina - France BIT (1991);
Argentina - Spain BIT (1991)",France,,"Salacuse, J. W. - President; Kaufmann-Kohler, G. - Claimant; Nikken, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1048
ICSID Case No. ARB/03/19,Suez and Vivendi v. Argentina (II),Argentina,Importador neto,América del Sur,"France;
Spain",Sin dato,2003,Sí con daños,834.10 USD,383.60 USD,,,"Tertiary - E - Water supply; sewerage, waste management and remediation activities",,"Argentina - France BIT (1991);
Argentina - Spain BIT (1991)","France;
Spain",,"Salacuse, J. W. - President; Kaufmann-Kohler, G. - Claimant; Nikken, P. - Respondent",ICSID annulment proceedings,Award/decision upheld ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/1057
ICSID Case No. ARB/02/15,Ahmonseto v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United States of America,Exportador neto,2002,No - ganó el Estado,100.00 USD,,,,Secondary - C - Manufacturing,,Egypt - United States of America BIT (1986),United States of America,,"Tercier, P. - President; Fadlallah, I. - Claimant; Viandier, A. - Respondent",ICSID annulment proceedings,Discontinued ICSID annulment proceedings,,No — revisar manual,http://www.italaw.com/cases/62
ICSID Case No. ARB/02/9,Champion Trading and Ameritrade v. Egypt,Egypt,Importador neto,Medio Oriente/Norte África,United States of America,Exportador neto,2002,No - ganó el Estado,365.00 USD,,,,"Primary - A - Agriculture, forestry and fishing",,Egypt - United States of America BIT (1986),United States of America,,"Briner, R. - President; Fortier, L. Y. - Claimant; Aynès, L. - Respondent",,,,No — revisar manual,http://www.italaw.com/cases/245
